Type;Info;Err
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8010;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8010;Missing.
Course;P1-8010;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8010;Missing.
Course;P1-8010;Missing.
Course;P1-8010;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8010;Missing.
Course;P1-8020;Missing.
Course;P1-8020;Missing.
Course;P1-8010;Missing.
Student;SR001950;Missing.
Student;SR001951;Missing.
Student;SR001951;Missing.
Student;SR001951;Missing.
Student;SR001952;Missing.
Student;SR001952;Missing.
Student;SR001952;Missing.
Student;SR001952;Missing.
Student;SR001952;Missing.
Student;SR001953;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001954;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001955;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001956;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001957;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001958;Missing.
Student;SR001959;Missing.
Student;SR001959;Missing.
Student;SR001959;Missing.
Student;SR001959;Missing.
Student;SR001959;Missing.
Student;SR001959;Missing.
Student;SR001959;Missing.
Student;SR001959;Missing.
Student;SR001960;Missing.
Student;SR001960;Missing.
Student;SR001960;Missing.
Student;SR001960;Missing.
Student;SR001960;Missing.
Student;SR001961;Missing.
Student;SR001961;Missing.
Student;SR001961;Missing.
Student;SR001961;Missing.
Student;SR001961;Missing.
Student;SR001962;Missing.
Student;SR001962;Missing.
Student;SR001962;Missing.
Student;SR001962;Missing.
Student;SR001963;Missing.
Student;SR001963;Missing.
Student;SR001963;Missing.
Student;SR001964;Missing.
Student;SR001964;Missing.
Student;SR001964;Missing.
Student;SR001964;Missing.
Student;SR001964;Missing.
Student;SR001964;Missing.
Student;SR001964;Missing.
Student;SR001964;Missing.
Student;SR001965;Missing.
Student;SR001965;Missing.
Student;SR001965;Missing.
Student;SR001965;Missing.
Student;SR001965;Missing.
Student;SR001965;Missing.
Student;SR001965;Missing.
Student;SR001966;Missing.
Student;SR001966;Missing.
Student;SR001966;Missing.
Student;SR001966;Missing.
Student;SR001966;Missing.
Student;SR001966;Missing.
Student;SR001966;Missing.
Student;SR001966;Missing.
