ΑΜ;Κωδ. μαθ.;Βαθμός
SR000001;ICE1-4001;4.7
SR000001;ICE1-5001;4.7
SR000001;P1-1030;0.4
SR000001;P1-2060;0.3
SR000001;P1-3030;4.7
SR000001;P1-4010;4.7
SR000001;P1-4010;4.7
SR000001;P1-4010;4.7
SR000001;P1-4030;0.3
SR000004;ICE1-1003;4.7
SR000004;ICE1-1004;6.9
SR000004;ICE1-3004;8.8
SR000004;ICE1-3005;7.6
SR000004;ICE1-4001;1.2
SR000004;ICE1-5001;0
SR000004;ICE1-7302;4.7
SR000004;P1-1030;4.7
SR000004;P1-1040;6.9
SR000004;P1-2030;3.5
SR000004;P1-2030;3.5
SR000004;P1-2030;3.5
SR000004;P1-3030;1.2
SR000004;P1-3040;8.8
SR000004;P1-3050;7.6
SR000004;P1-4010;0
SR000004;P1-4020;6.8
SR000004;P1-4040;1.1
SR000004;P1-4040;1.1
SR000004;P1-5030;2
SR000004;P1-5320;2
SR000004;P1-6310;4.7
SR000008;ICE1-1001;0
SR000008;ICE1-1002;2.8
SR000008;ICE1-1003;2.6
SR000008;ICE1-1004;2.8
SR000008;ICE1-1005;0
SR000008;ICE1-1006;6
SR000008;ICE1-2001;2.8
SR000008;ICE1-2005;9.8
SR000008;ICE1-2006;6.3
SR000008;ICE1-3002;3.6
SR000008;ICE1-3003;2.8
SR000008;ICE1-3004;5
SR000008;ICE1-3005;1.9
SR000008;ICE1-3006;3.2
SR000008;ICE1-4001;4.8
SR000008;ICE1-4002;0.7
SR000008;ICE1-4003;1.2
SR000008;ICE1-4004;1.2
SR000008;ICE1-4006;7
SR000008;ICE1-5001;1.2
SR000008;ICE1-5002;0
SR000008;ICE1-5003;1.3
SR000008;ICE1-5004;2.8
SR000008;ICE1-5005;5.8
SR000008;ICE1-5006;8.7
SR000008;ICE1-6001;2.8
SR000008;ICE1-6003;6.6
SR000008;ICE1-6004;6.6
SR000008;ICE1-6006;8.9
SR000008;ICE1-7107;2.8
SR000008;ICE1-7201;1.5
SR000008;ICE1-7204;5.2
SR000008;ICE1-7207;0.5
SR000008;ICE1-7208;8.7
SR000008;ICE1-7302;1.5
SR000008;ICE1-7401;1.5
SR000008;ICE1-7404;7.6
SR000008;ICE1-8112;3.2
SR000008;ICE1-8201;3.8
SR000008;ICE1-8202;5.9
SR000008;ICE1-8204;2.8
SR000008;ICE1-8207;9.9
SR000008;ICE1-8305;0.5
SR000008;P1-1010;0
SR000008;P1-1020;2.8
SR000008;P1-1030;2.6
SR000008;P1-1040;2.8
SR000008;P1-1050;0
SR000008;P1-1060;6
SR000008;P1-2010;9.8
SR000008;P1-2030;2.8
SR000008;P1-2050;2.8
SR000008;P1-2060;6.3
SR000008;P1-3020;3.6
SR000008;P1-3030;4.8
SR000008;P1-3040;5
SR000008;P1-3050;1.9
SR000008;P1-3060;3.2
SR000008;P1-4010;1.2
SR000008;P1-4010;1.2
SR000008;P1-4010;1.2
SR000008;P1-4010;1.2
SR000008;P1-4020;0.7
SR000008;P1-4030;1.2
SR000008;P1-4040;1.2
SR000008;P1-4060;7
SR000008;P1-5010;2.8
SR000008;P1-5020;1.3
