Κωδικός;Τίτλος;ΠΣ
ICE1-1001;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ I;5
ICE1-1002;ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ;5
ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;5
ICE1-1004;ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ;5
ICE1-1005;ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ;5
ICE1-1006;ΦΥΣΙΚΗ;5
ICE1-2001;ΣΧΕΔΙΑΣΗ ΚΑΙ ΑΝΑΛΥΣΗ ΑΛΓΟΡΙΘΜΩΝ;5
ICE1-2002;ΠΙΘΑΝΟΤΗΤΕΣ ΚΑΙ ΣΤΑΤΙΣΤΙΚΗ;5
ICE1-2003;ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΙΙ;5
ICE1-2004;ΑΝΤΙΚΕΙΜΕΝΟΣΤΡΕΦΗΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;5
ICE1-2005;ΨΗΦΙΑΚΗ ΣΧΕΔΙΑΣΗ;5
ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;5
ICE1-3001;ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΠΟΛΥΠΛΟΚΟΤΗΤΑ;5
ICE1-3002;ΗΛΕΚΤΡΟΝΙΚΗ;5
ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;5
ICE1-3004;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ Ι;5
ICE1-3005;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ Ι;5
ICE1-3006;ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ;5
ICE1-4001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ Ι;5
ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;5
ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;5
ICE1-4004;ΜΕΘΟΔΟΛΟΓΙΕΣ ΑΝΑΠΤΥΞΗΣ ΕΦΑΡΜΟΓΩΝ;5
ICE1-4005;ΣΧΕΔΙΑΣΗ ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;5
ICE1-4006;ΣΗΜΑΤΑ ΚΑΙ ΣΥΣΤΗΜΑΤΑ;5
ICE1-4007;ΣYNTAΞΗ ΤΕΧΝΙΚΩΝ ΚΕΙΜΕΝΩΝ;5
ICE1-5001;ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ ΙΙ;5
ICE1-5002;ΔΙΚΤΥΑΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;5
ICE1-5003;ΑΝΑΛΥΣΗ ΚΑΙ ΣΧΕΔΙΑΣΜΟΣ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;5
ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;5
ICE1-5005;ΨΗΦΙΑΚΗ ΕΠΕΞΕΡΓΑΣΙΑ ΣΗΜΑΤΟΣ;5
ICE1-5006;ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΑΡΑΛΛΗΛΟ ΥΠΟΛΟΓΙΣΜΟ;5
ICE1-6001;ΤΕΧΝΟΛΟΓΙΑ ΛΟΓΙΣΜΙΚΟΥ;5
ICE1-6002;ΑΣΦΑΛΕΙΑ ΣΤΗΝ ΤΕΧΝΟΛΟΓΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;5
ICE1-6003;ΜΕΤΑΓΛΩΤΤΙΣΤΕΣ;5
ICE1-6004;ΜΙΚΡΟΗΛΕΚΤΡΟΝΙΚΗ;5
ICE1-6005;ΚΑΤΑΝΕΜΗΜΕΝΑ ΣΥΣΤΗΜΑΤΑ;5
ICE1-6006;ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ;5
ICE1-7001;ΤΕΧΝΟΛΟΓΙΑ ΥΠΟΛΟΓΙΣΤΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;5
ICE1-7002;ΘΕΩΡΙΑ ΥΠΟΛΟΓΙΣΜΟΥ;5
ICE1-7101;ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΑΝΑΠΤΥΞΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ;5
ICE1-7102;ΑΝΑΚΤΗΣΗ ΠΛΗΡΟΦΟΡΙΑΣ;5
ICE1-7103;ΑΝΑΓΝΩΡΙΣΗ ΠΡΟΤΥΠΩΝ ΚΑΙ ΜΗΧΑΝΙΚΗ ΜΑΘΗΣΗ;5
ICE1-7104;ΔΙΑΧΕΙΡΙΣΗ ΓΝΩΣΗΣ;5
ICE1-7105;ΕΙΔΙΚΑ ΘΕΜΑΤΑ ΤΕΧΝΟΛΟΓΙΑΣ ΛΟΓΙΣΜΙΚΟΥ;5
ICE1-7106;ΕΞΟΡΥΞΗ ΔΕΔΟΜΕΝΩΝ;5
ICE1-7107;ΕΠΕΞΕΡΓΑΣΙΑ ΕΙΚΟΝΑΣ;5
ICE1-7108;ΕΠΙΧΕΙΡΗΣΙΑΚΗ ΕΡΕΥΝΑ;5
ICE1-7109;ΜΟΝΤΕΛΟΠΟΙΗΣΗ ΚΑΙ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΠΕΡΙΟΡΙΣΜΩΝ;5
ICE1-7110;ΠΛΗΡΟΦΟΡΙΑΚΑ ΣΥΣΤΗΜΑΤΑ ΔΙΟΙΚΗΣΗΣ;5
ICE1-7111;ΠΛΗΡΟΦΟΡΙΚΗ ΥΓΕΙΑΣ;5
ICE1-7112;ΠΟΙΟΤΗΤΑ ΚΑΙ ΑΞΙΟΠΙΣΤΙΑ ΛΟΓΙΣΜΙΚΟΥ;5
ICE1-7113;ΣΥΣΤΗΜΑΤΑ ΑΠΟΦΑΣΕΩΝ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΔΙΕΡΓΑΣΙΩΝ;5
ICE1-7114;ΣΥΣΤΗΜΑΤΑ ΑΣΑΦΟΥΣ ΛΟΓΙΚΗΣ ΚΑΙ ΑΒΕΒΑΙΟΤΗΤΑΣ;5
ICE1-7201;ΜΙΚΡΟΫΠΟΛΟΓΙΣΤΕΣ;5
ICE1-7202;ΣΧΕΔΙΑΣΗ ΣΥΣΤΗΜΑΤΩΝ ΜΕ ΧΡΗΣΗ ΥΠΟΛΟΓΙΣΤΗ;5
ICE1-7203;ΒΙΟΜΗΧΑΝΙΚΗ ΠΛΗΡΟΦΟΡΙΚΗ;5
